ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
"107",HUMAN_OBSERVATION,iNaturalist,07:44:00+10:00,"2016","9","1",-34.132465,150.60045,Alisterus scapularis,parrot
"119",HUMAN_OBSERVATION,iNaturalist,16:12:12+10:00,"2016","9","16",-34.016728,151.094161,Alisterus scapularis,parrot
"174",HUMAN_OBSERVATION,iNaturalist,11:15:00+11:00,"2016","12","19",-33.753715,151.046039,Alisterus scapularis,parrot
"240",HUMAN_OBSERVATION,iNaturalist,11:20:00+11:00,"2016","12","6",-33.782863,151.197119,Alisterus scapularis,parrot
"246",HUMAN_OBSERVATION,iNaturalist,13:48:00+11:00,"2016","10","9",-33.605124,150.406136,Alisterus scapularis,parrot
"269",HUMAN_OBSERVATION,iNaturalist,16:42:00-03:00,"2016","9","25",-33.765053,151.183843,Alisterus scapularis,parrot
"307",HUMAN_OBSERVATION,iNaturalist,16:47:00+11:00,"2016","10","12",-33.691066,150.492791,Alisterus scapularis,parrot
"357",HUMAN_OBSERVATION,iNaturalist,16:58:53+11:00,"2016","10","29",-34.444514,150.832996,Alisterus scapularis,parrot
"399",HUMAN_OBSERVATION,iNaturalist,15:29:00+10:00,"2016","9","26",-34.127042,151.08592,Alisterus scapularis,parrot
"446",HUMAN_OBSERVATION,iNaturalist,14:30:00+11:00,"2016","10","23",-33.77294,151.200886,Alisterus scapularis,parrot
"471",HUMAN_OBSERVATION,iNaturalist,16:23:00-07:00,"2016","4","24",-34.083205,151.071704,Alisterus scapularis,parrot
"479",HUMAN_OBSERVATION,iNaturalist,16:24:00+11:00,"2016","10","8",-33.818645,151.218183,Alisterus scapularis,parrot
"512",HUMAN_OBSERVATION,iNaturalist,07:20:00+11:00,"2016","10","4",-34.08434,151.056863,Alisterus scapularis,parrot
"519",HUMAN_OBSERVATION,iNaturalist,16:30:00+10:00,"2016","10","1",-34.443983,150.83262,Alisterus scapularis,parrot
"571",HUMAN_OBSERVATION,iNaturalist,10:44:00+11:00,"2016","10","12",-33.635556,150.283611,Alisterus scapularis,parrot
"605",HUMAN_OBSERVATION,iNaturalist,13:03:00+11:00,"2016","10","23",-33.711339,151.141259,Alisterus scapularis,parrot
"668",HUMAN_OBSERVATION,iNaturalist,09:11:00+11:00,"2016","10","19",-33.70645,150.532678,Alisterus scapularis,parrot
"716",HUMAN_OBSERVATION,iNaturalist,12:10:06+11:00,"2016","2","28",-33.721478,150.310717,Alisterus scapularis,parrot
"763",HUMAN_OBSERVATION,iNaturalist,17:56:00+11:00,"2016","11","27",-33.796942,151.159526,Alisterus scapularis,parrot
"771",HUMAN_OBSERVATION,iNaturalist,16:32:00+11:00,"2016","11","20",-33.712633,151.140786,Alisterus scapularis,parrot
"829",HUMAN_OBSERVATION,iNaturalist,16:47:00+11:00,"2016","11","4",-33.797891,151.160839,Alisterus scapularis,parrot
"848",HUMAN_OBSERVATION,iNaturalist,08:55:00+11:00,"2016","11","13",-33.711401,151.140801,Alisterus scapularis,parrot
"962",HUMAN_OBSERVATION,,,"2016","3","9",-33.79663,151.051497,Alisterus scapularis,parrot
"963",HUMAN_OBSERVATION,,,"2016","9","20",-33.683429,150.576597,Alisterus scapularis,parrot
"967",HUMAN_OBSERVATION,,,"2016","3","29",-33.572762,150.89467,Alisterus scapularis,parrot
"983",HUMAN_OBSERVATION,,,"2016","12","25",-34.049278,151.041611,Alisterus scapularis,parrot
"984",HUMAN_OBSERVATION,,,"2016","9","9",-33.479483,150.704557,Alisterus scapularis,parrot
"990",HUMAN_OBSERVATION,,,"2016","9","24",-34.182695,150.60513,Alisterus scapularis,parrot
"1013",HUMAN_OBSERVATION,,,"2016","9","1",-34.132465,150.60045,Alisterus scapularis,parrot
"1019",HUMAN_OBSERVATION,,,"2016","3","8",-33.781132,151.08963,Alisterus scapularis,parrot
"1029",HUMAN_OBSERVATION,,,"2016","12","6",-33.761176,151.074448,Alisterus scapularis,parrot
"1033",HUMAN_OBSERVATION,,,"2016","10","23",-33.79352,151.011475,Alisterus scapularis,parrot
"1042",HUMAN_OBSERVATION,,,"2016","3","4",-33.438726,151.250316,Alisterus scapularis,parrot
"1043",HUMAN_OBSERVATION,,,"2016","6","29",-33.331224,151.29704,Alisterus scapularis,parrot
"1050",HUMAN_OBSERVATION,,,"2016","3","18",-34.056659,151.000299,Alisterus scapularis,parrot
"1051",HUMAN_OBSERVATION,,,"2016","9","26",-34.020889,151.084747,Alisterus scapularis,parrot
"1065",HUMAN_OBSERVATION,,,"2016","1","11",-33.783129,151.181913,Alisterus scapularis,parrot
"1068",HUMAN_OBSERVATION,,,"2016","10","9",-33.683464,150.576671,Alisterus scapularis,parrot
"1071",HUMAN_OBSERVATION,,,"2016","1","24",-34.061188,150.715103,Alisterus scapularis,parrot
"1089",HUMAN_OBSERVATION,,,"2016","7","30",-33.741112,151.06694,Alisterus scapularis,parrot
"1111",HUMAN_OBSERVATION,,,"2016","1","9",-33.480045,150.704375,Alisterus scapularis,parrot
"1116",HUMAN_OBSERVATION,,,"2016","1","5",-33.637772,150.29152,Alisterus scapularis,parrot
