ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
1,HUMAN_OBSERVATION,iNaturalist,07:38:00Z,2016,9,15,-33.913617,151.163069,Columba livia domestica,pigeon
23,HUMAN_OBSERVATION,iNaturalist,06:43:00Z,2016,9,14,-33.952936,151.088887,Columba livia domestica,pigeon
26,HUMAN_OBSERVATION,iNaturalist,23:05:28Z,2016,9,16,-33.709778,151.099686,Columba livia domestica,pigeon
42,HUMAN_OBSERVATION,iNaturalist,21:53:00Z,2016,12,1,-33.886722,151.18947,Columba livia domestica,pigeon
50,HUMAN_OBSERVATION,iNaturalist,06:44:00Z,2016,12,14,-33.884853,151.192795,Columba livia domestica,pigeon
68,HUMAN_OBSERVATION,iNaturalist,04:54:00Z,2016,12,6,-33.870858,151.210708,Columba livia domestica,pigeon
89,HUMAN_OBSERVATION,iNaturalist,04:24:00Z,2016,9,28,-33.973832,151.066627,Columba livia domestica,pigeon
95,HUMAN_OBSERVATION,iNaturalist,21:49:00Z,2016,12,18,-33.8102,151.259436,Columba livia domestica,pigeon
103,HUMAN_OBSERVATION,iNaturalist,05:11:00Z,2016,7,5,-33.843022,151.241913,Columba livia domestica,pigeon
106,HUMAN_OBSERVATION,iNaturalist,02:56:00Z,2016,9,6,-33.898285,151.156564,Columba livia domestica,pigeon
107,HUMAN_OBSERVATION,iNaturalist,00:17:22Z,2016,9,13,-33.709389,151.099367,Columba livia domestica,pigeon
118,HUMAN_OBSERVATION,iNaturalist,10:18:00Z,2016,9,23,-33.728807,151.279242,Columba livia domestica,pigeon
130,HUMAN_OBSERVATION,iNaturalist,04:21:00Z,2016,9,8,-33.898936,151.036537,Columba livia domestica,pigeon
146,HUMAN_OBSERVATION,iNaturalist,05:50:00Z,2016,12,15,-33.88518,151.192642,Columba livia domestica,pigeon
167,HUMAN_OBSERVATION,iNaturalist,05:38:00Z,2016,9,10,-33.911926,151.13751,Columba livia domestica,pigeon
172,HUMAN_OBSERVATION,iNaturalist,02:05:00Z,2016,10,7,-33.818043,151.089555,Columba livia domestica,pigeon
201,HUMAN_OBSERVATION,iNaturalist,21:46:00Z,2016,7,1,-33.771,150.9063,Columba livia domestica,pigeon
250,HUMAN_OBSERVATION,iNaturalist,23:57:59Z,2016,9,13,-33.709681,151.09982,Columba livia domestica,pigeon
252,HUMAN_OBSERVATION,iNaturalist,05:05:00Z,2016,12,6,-33.870095,151.211853,Columba livia domestica,pigeon
262,HUMAN_OBSERVATION,iNaturalist,,2016,1,21,-33.86379,151.217924,Columba livia domestica,pigeon
268,HUMAN_OBSERVATION,iNaturalist,07:53:00Z,2016,12,16,-33.884853,151.19278,Columba livia domestica,pigeon
