ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
7,OCCURRENCE,Inner West Council,,2016,12,9,-33.927583,151.164131,Dacelo (Dacelo) novaeguineae,kookaburra
10,OCCURRENCE,Inner West Council,,2016,11,11,-33.930152,151.160481,Dacelo (Dacelo) novaeguineae,kookaburra
15,OCCURRENCE,Inner West Council,,2016,10,7,-33.927583,151.164131,Dacelo (Dacelo) novaeguineae,kookaburra
26,HUMAN_OBSERVATION,iNaturalist,22:11:00Z,2016,12,27,-33.952577,151.256077,Dacelo (Dacelo) novaeguineae,kookaburra
102,HUMAN_OBSERVATION,iNaturalist,20:35:00Z,2016,12,28,-33.814793,151.295772,Dacelo (Dacelo) novaeguineae,kookaburra
176,HUMAN_OBSERVATION,iNaturalist,00:32:00Z,2016,12,24,-33.888038,151.182425,Dacelo (Dacelo) novaeguineae,kookaburra
223,HUMAN_OBSERVATION,iNaturalist,13:20:00Z,2016,12,26,-33.714838,151.052299,Dacelo (Dacelo) novaeguineae,kookaburra
251,HUMAN_OBSERVATION,iNaturalist,07:27:00Z,2016,9,6,-33.725451,150.369286,Dacelo (Dacelo) novaeguineae,kookaburra
281,HUMAN_OBSERVATION,iNaturalist,21:27:10Z,2016,4,15,-33.843792,151.243864,Dacelo (Dacelo) novaeguineae,kookaburra
297,HUMAN_OBSERVATION,iNaturalist,01:32:00Z,2016,9,25,-33.861661,151.216761,Dacelo (Dacelo) novaeguineae,kookaburra
333,HUMAN_OBSERVATION,iNaturalist,02:45:00Z,2016,9,28,-33.891702,151.233113,Dacelo (Dacelo) novaeguineae,kookaburra
365,HUMAN_OBSERVATION,iNaturalist,01:50:00Z,2016,7,25,-33.930851,151.249586,Dacelo (Dacelo) novaeguineae,kookaburra
413,HUMAN_OBSERVATION,iNaturalist,05:01:00Z,2016,12,6,-33.887108,151.185347,Dacelo (Dacelo) novaeguineae,kookaburra
443,HUMAN_OBSERVATION,iNaturalist,19:57:59Z,2016,6,18,-33.881676,151.206774,Dacelo (Dacelo) novaeguineae,kookaburra
524,HUMAN_OBSERVATION,iNaturalist,01:01:00Z,2016,10,8,-33.60332,151.291965,Dacelo (Dacelo) novaeguineae,kookaburra
554,HUMAN_OBSERVATION,iNaturalist,02:04:00Z,2016,10,18,-33.840483,151.188772,Dacelo (Dacelo) novaeguineae,kookaburra
564,HUMAN_OBSERVATION,iNaturalist,,2016,6,17,-33.838781,151.252394,Dacelo (Dacelo) novaeguineae,kookaburra
576,HUMAN_OBSERVATION,iNaturalist,04:32:00Z,2016,10,25,-33.797372,151.159023,Dacelo (Dacelo) novaeguineae,kookaburra
612,HUMAN_OBSERVATION,iNaturalist,08:16:00Z,2016,10,26,-33.847962,151.215377,Dacelo (Dacelo) novaeguineae,kookaburra
633,HUMAN_OBSERVATION,iNaturalist,02:41:00Z,2016,10,6,-33.833956,151.001333,Dacelo (Dacelo) novaeguineae,kookaburra
671,HUMAN_OBSERVATION,iNaturalist,09:59:00Z,2016,9,21,-33.795995,150.881719,Dacelo (Dacelo) novaeguineae,kookaburra
695,HUMAN_OBSERVATION,iNaturalist,06:27:00Z,2016,9,9,-33.785171,151.264231,Dacelo (Dacelo) novaeguineae,kookaburra
724,HUMAN_OBSERVATION,iNaturalist,13:40:00Z,2016,10,27,-33.869192,151.01088,Dacelo (Dacelo) novaeguineae,kookaburra
804,HUMAN_OBSERVATION,iNaturalist,01:50:00Z,2016,10,2,-33.867817,151.217037,Dacelo (Dacelo) novaeguineae,kookaburra
816,HUMAN_OBSERVATION,iNaturalist,00:36:00Z,2016,10,14,-33.873526,151.211747,Dacelo (Dacelo) novaeguineae,kookaburra
831,HUMAN_OBSERVATION,iNaturalist,14:20:00Z,2016,12,23,-33.768924,151.180494,Dacelo (Dacelo) novaeguineae,kookaburra
