ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
3,HUMAN_OBSERVATION,iNaturalist,06:46:00Z,2016,12,14,-33.885875,151.190383,Manorina (Myzantha) melanocephala,miner
34,HUMAN_OBSERVATION,iNaturalist,22:23:00Z,2016,9,28,-33.864598,151.21651,Manorina (Myzantha) melanocephala,miner
44,HUMAN_OBSERVATION,iNaturalist,22:22:00Z,2016,9,21,-33.872707,151.15921,Manorina (Myzantha) melanocephala,miner
56,HUMAN_OBSERVATION,iNaturalist,,2016,12,4,-34.073149,150.767973,Manorina (Myzantha) melanocephala,miner
72,HUMAN_OBSERVATION,iNaturalist,01:48:30Z,2016,9,8,-33.709817,151.100128,Manorina (Myzantha) melanocephala,miner
123,HUMAN_OBSERVATION,iNaturalist,00:04:45Z,2016,9,13,-33.70972,151.099751,Manorina (Myzantha) melanocephala,miner
133,HUMAN_OBSERVATION,iNaturalist,07:03:00Z,2016,9,28,-33.882757,151.14017,Manorina (Myzantha) melanocephala,miner
143,HUMAN_OBSERVATION,iNaturalist,04:38:00Z,2016,10,25,-33.797001,151.158831,Manorina (Myzantha) melanocephala,miner
150,HUMAN_OBSERVATION,iNaturalist,02:07:00Z,2016,10,22,-33.844529,151.213533,Manorina (Myzantha) melanocephala,miner
159,HUMAN_OBSERVATION,iNaturalist,20:13:00Z,2016,12,28,-33.86699,151.239549,Manorina (Myzantha) melanocephala,miner
183,HUMAN_OBSERVATION,iNaturalist,04:37:00Z,2016,12,15,-33.885303,151.191987,Manorina (Myzantha) melanocephala,miner
202,HUMAN_OBSERVATION,iNaturalist,06:34:39Z,2016,10,1,-33.875587,151.189025,Manorina (Myzantha) melanocephala,miner
203,HUMAN_OBSERVATION,iNaturalist,01:27:00Z,2016,9,17,-33.839655,151.232555,Manorina (Myzantha) melanocephala,miner
240,HUMAN_OBSERVATION,iNaturalist,04:03:00Z,2016,9,9,-33.710773,151.119904,Manorina (Myzantha) melanocephala,miner
280,HUMAN_OBSERVATION,iNaturalist,06:22:00Z,2016,12,4,-33.998517,151.085857,Manorina (Myzantha) melanocephala,miner
281,HUMAN_OBSERVATION,iNaturalist,23:23:06Z,2016,9,15,-33.7099,151.099717,Manorina (Myzantha) melanocephala,miner
317,HUMAN_OBSERVATION,iNaturalist,06:55:00Z,2016,12,14,-33.887037,151.18573,Manorina (Myzantha) melanocephala,miner
342,HUMAN_OBSERVATION,iNaturalist,04:36:00Z,2016,12,18,-33.89008,151.175933,Manorina (Myzantha) melanocephala,miner
367,HUMAN_OBSERVATION,iNaturalist,23:20:00Z,2016,9,17,-33.844913,151.213378,Manorina (Myzantha) melanocephala,miner
375,HUMAN_OBSERVATION,iNaturalist,07:44:00Z,2016,12,29,-33.837955,151.189395,Manorina (Myzantha) melanocephala,miner
376,HUMAN_OBSERVATION,iNaturalist,00:52:00Z,2016,10,2,-33.869665,151.21423,Manorina (Myzantha) melanocephala,miner
