ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
22,HUMAN_OBSERVATION,iNaturalist,04:15:00Z,2016,9,28,-33.804411,151.025961,Threskiornis moluccus,ibis
45,HUMAN_OBSERVATION,iNaturalist,00:34:00Z,2016,12,3,-33.984724,151.085978,Threskiornis moluccus,ibis
86,HUMAN_OBSERVATION,iNaturalist,05:42:00Z,2016,12,15,-33.885095,151.193863,Threskiornis moluccus,ibis
139,HUMAN_OBSERVATION,iNaturalist,04:18:00Z,2016,9,8,-33.847837,151.139902,Threskiornis moluccus,ibis
166,HUMAN_OBSERVATION,iNaturalist,16:29:00Z,2016,12,28,-33.8775,151.2412,Threskiornis moluccus,ibis
176,HUMAN_OBSERVATION,iNaturalist,01:25:45Z,2016,12,19,-33.860213,151.209442,Threskiornis moluccus,ibis
214,HUMAN_OBSERVATION,iNaturalist,08:53:58Z,2016,9,8,-33.877317,150.965514,Threskiornis moluccus,ibis
223,HUMAN_OBSERVATION,iNaturalist,01:37:00Z,2016,12,27,-33.882329,151.176335,Threskiornis moluccus,ibis
240,HUMAN_OBSERVATION,iNaturalist,04:11:00Z,2016,12,3,-33.899986,151.073364,Threskiornis moluccus,ibis
257,HUMAN_OBSERVATION,iNaturalist,05:02:25Z,2016,9,5,-33.818522,150.95326,Threskiornis moluccus,ibis
261,HUMAN_OBSERVATION,iNaturalist,23:59:00Z,2016,9,10,-33.86882,151.209296,Threskiornis moluccus,ibis
265,HUMAN_OBSERVATION,iNaturalist,,2016,3,26,-33.869994,151.214183,Threskiornis moluccus,ibis
278,HUMAN_OBSERVATION,iNaturalist,09:44:00Z,2016,12,19,-33.875008,151.210753,Threskiornis moluccus,ibis
349,HUMAN_OBSERVATION,iNaturalist,01:21:01Z,2016,12,15,-33.892822,151.198571,Threskiornis moluccus,ibis
358,HUMAN_OBSERVATION,iNaturalist,04:54:00Z,2016,12,6,-33.87093,151.211088,Threskiornis moluccus,ibis
405,HUMAN_OBSERVATION,iNaturalist,00:49:00Z,2016,10,2,-33.869817,151.214018,Threskiornis moluccus,ibis
415,HUMAN_OBSERVATION,iNaturalist,07:54:00Z,2016,12,16,-33.8851,151.1922,Threskiornis moluccus,ibis
470,HUMAN_OBSERVATION,iNaturalist,13:12:00Z,2016,10,5,-33.885889,151.192848,Threskiornis moluccus,ibis
496,HUMAN_OBSERVATION,iNaturalist,12:08:45Z,2016,10,5,-33.863032,151.215906,Threskiornis moluccus,ibis
499,HUMAN_OBSERVATION,iNaturalist,01:34:04Z,2016,10,25,-33.864803,151.216989,Threskiornis moluccus,ibis
502,HUMAN_OBSERVATION,iNaturalist,02:55:00Z,2016,9,6,-33.979296,151.066683,Threskiornis moluccus,ibis
579,HUMAN_OBSERVATION,iNaturalist,23:49:13Z,2016,9,26,-33.861091,151.209658,Threskiornis moluccus,ibis
642,HUMAN_OBSERVATION,iNaturalist,18:24:00Z,2016,12,29,-33.873138,151.211276,Threskiornis moluccus,ibis
684,HUMAN_OBSERVATION,iNaturalist,07:08:00Z,2016,10,24,-33.844856,151.151871,Threskiornis moluccus,ibis
717,HUMAN_OBSERVATION,iNaturalist,13:50:00Z,2016,10,19,-33.879044,151.052814,Threskiornis moluccus,ibis
734,HUMAN_OBSERVATION,iNaturalist,21:03:00Z,2016,10,27,-33.970558,151.076541,Threskiornis moluccus,ibis
742,HUMAN_OBSERVATION,iNaturalist,23:09:00Z,2016,6,28,-33.863214,151.216583,Threskiornis moluccus,ibis
841,HUMAN_OBSERVATION,iNaturalist,03:51:00Z,2016,10,21,-33.913005,151.009795,Threskiornis moluccus,ibis
849,HUMAN_OBSERVATION,iNaturalist,,2016,4,10,-33.867487,151.20699,Threskiornis moluccus,ibis
858,HUMAN_OBSERVATION,iNaturalist,04:22:00Z,2016,10,1,-33.98473,151.109121,Threskiornis moluccus,ibis
934,HUMAN_OBSERVATION,iNaturalist,06:26:00Z,2016,10,19,-33.900562,151.234264,Threskiornis moluccus,ibis
