ID,basisOfRec,institution,eventTime,year,month,day,decimalLat,decimalLon,scientific_name,name
2,HUMAN_OBSERVATION,Inner West Council,,2016,3,11,-33.92951,151.159376,Trichoglossus haematodus,lorikeet
9,OCCURRENCE,Inner West Council,,2016,12,9,-33.927583,151.164131,Trichoglossus haematodus,lorikeet
22,HUMAN_OBSERVATION,Inner West Council,,2016,1,8,-33.930685,151.157756,Trichoglossus haematodus,lorikeet
26,OCCURRENCE,Inner West Council,,2016,9,9,-33.930152,151.160481,Trichoglossus haematodus,lorikeet
35,HUMAN_OBSERVATION,Inner West Council,,2016,3,11,-33.927504,151.163069,Trichoglossus haematodus,lorikeet
36,HUMAN_OBSERVATION,Inner West Council,,2016,7,8,-33.929688,151.158507,Trichoglossus haematodus,lorikeet
42,OCCURRENCE,Inner West Council,,2016,9,9,-33.927583,151.164131,Trichoglossus haematodus,lorikeet
45,HUMAN_OBSERVATION,Inner West Council,,2016,4,8,-33.929688,151.158507,Trichoglossus haematodus,lorikeet
47,OCCURRENCE,Inner West Council,,2016,8,12,-33.927583,151.164131,Trichoglossus haematodus,lorikeet
51,HUMAN_OBSERVATION,Inner West Council,,2016,4,8,-33.925795,151.164694,Trichoglossus haematodus,lorikeet
56,HUMAN_OBSERVATION,Inner West Council,,2016,6,10,-33.931317,151.159258,Trichoglossus haematodus,lorikeet
59,OCCURRENCE,Inner West Council,,2016,10,7,-33.930152,151.160481,Trichoglossus haematodus,lorikeet
63,HUMAN_OBSERVATION,Inner West Council,,2016,2,12,-33.926192,151.16341,Trichoglossus haematodus,lorikeet
68,HUMAN_OBSERVATION,Inner West Council,,2016,1,8,-33.926192,151.16341,Trichoglossus haematodus,lorikeet
88,OCCURRENCE,Inner West Council,,2016,10,7,-33.927583,151.164131,Trichoglossus haematodus,lorikeet
100,HUMAN_OBSERVATION,Inner West Council,,2016,5,13,-33.927504,151.163069,Trichoglossus haematodus,lorikeet
101,HUMAN_OBSERVATION,Inner West Council,,2016,5,13,-33.92951,151.159376,Trichoglossus haematodus,lorikeet
104,OCCURRENCE,Inner West Council,,2016,11,11,-33.930152,151.160481,Trichoglossus haematodus,lorikeet
106,HUMAN_OBSERVATION,Inner West Council,,2016,7,8,-33.927504,151.163069,Trichoglossus haematodus,lorikeet
107,OCCURRENCE,Inner West Council,0.333333333,2016,8,12,-33.930152,151.160481,Trichoglossus haematodus,lorikeet
115,HUMAN_OBSERVATION,Inner West Council,,2016,2,12,-33.929688,151.158507,Trichoglossus haematodus,lorikeet
123,OCCURRENCE,Inner West Council,,2016,11,11,-33.927583,151.164131,Trichoglossus haematodus,lorikeet
139,HUMAN_OBSERVATION,Inner West Environment Group,0.3125,2016,9,23,-33.899565,151.140155,Trichoglossus haematodus,lorikeet
142,HUMAN_OBSERVATION,Inner West Environment Group,0.385416667,2016,12,29,-33.899022,151.140232,Trichoglossus haematodus,lorikeet
144,HUMAN_OBSERVATION,Inner West Environment Group,0.399305556,2016,12,29,-33.900476,151.137967,Trichoglossus haematodus,lorikeet
145,HUMAN_OBSERVATION,Inner West Environment Group,0.395833333,2016,12,29,-33.901594,151.138064,Trichoglossus haematodus,lorikeet
153,HUMAN_OBSERVATION,Inner West Environment Group,,2016,9,23,-33.900476,151.137967,Trichoglossus haematodus,lorikeet
159,HUMAN_OBSERVATION,Inner West Environment Group,0.333333333,2016,12,29,-33.897312,151.142564,Trichoglossus haematodus,lorikeet
160,HUMAN_OBSERVATION,Inner West Environment Group,0.40625,2016,3,31,-33.897312,151.142564,Trichoglossus haematodus,lorikeet
164,HUMAN_OBSERVATION,Inner West Environment Group,0.3125,2016,12,29,-33.895342,151.143117,Trichoglossus haematodus,lorikeet
178,HUMAN_OBSERVATION,Inner West Environment Group,0.291666667,2016,6,24,-33.898316,151.141749,Trichoglossus haematodus,lorikeet
181,HUMAN_OBSERVATION,Inner West Environment Group,0.302083333,2016,10,21,-33.899565,151.140155,Trichoglossus haematodus,lorikeet
197,HUMAN_OBSERVATION,Inner West Environment Group,0.416666667,2016,10,21,-33.900476,151.137967,Trichoglossus haematodus,lorikeet
199,HUMAN_OBSERVATION,Inner West Environment Group,0.368055556,2016,10,21,-33.899051,151.140292,Trichoglossus haematodus,lorikeet
201,HUMAN_OBSERVATION,Inner West Environment Group,0.364583333,2016,7,22,-33.899022,151.140232,Trichoglossus haematodus,lorikeet
202,HUMAN_OBSERVATION,Inner West Environment Group,0.8125,2016,7,22,-33.895342,151.143117,Trichoglossus haematodus,lorikeet
204,HUMAN_OBSERVATION,Inner West Environment Group,0.375,2016,7,22,-33.900476,151.137967,Trichoglossus haematodus,lorikeet
217,HUMAN_OBSERVATION,Inner West Environment Group,0.347222222,2016,10,21,-33.895342,151.143117,Trichoglossus haematodus,lorikeet
222,HUMAN_OBSERVATION,Inner West Environment Group,0.395833333,2016,2,19,-33.899022,151.140232,Trichoglossus haematodus,lorikeet
228,HUMAN_OBSERVATION,Inner West Environment Group,0.375,2016,5,27,-33.897312,151.142564,Trichoglossus haematodus,lorikeet
